image_idxs,accuracy,precision,specificity,sensibility,IoU,f1_score
"[0, 1, 2]",0.924729,0.936870,0.771766,0.965847,0.906932,0.951105
"[3, 4, 5]",0.813175,0.960840,0.900528,0.780989,0.756859,0.861599
"[6, 7, 8]",0.960370,0.963044,0.439845,0.994812,0.958276,0.978643
"[9, 10, 11]",0.930805,0.937141,0.646618,0.983894,0.922994,0.959923
"[12, 13, 14]",0.943625,0.945754,0.428313,0.994108,0.940493,0.969233
"[15, 16, 17]",0.883235,0.929338,0.765537,0.888965,0.834407,0.907891
"[18, 19, 20]",0.950000,0.954426,0.618978,0.990647,0.945974,0.972161
"[21, 22, 23]",0.876968,0.787218,0.558669,0.974598,0.842288,0.910503
"[24, 25, 26]",0.926233,0.768749,0.450091,0.990314,0.913857,0.951723
"[27, 28]",0.916343,0.916406,0.503293,0.988319,0.906585,0.950987
